Name,Link,Name,YOB,Date,Competition,Placing,Division,Weightclass,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points
Gabrielle Mamani,competitions-view?id=992,Gabrielle Mamani,1994,10/15/2015,2015 Raw Nationals,10.,R-O,-57,55.90,110,-115,115,-57.5,-62.5,62.5,152.5,162.5,-170,340,400.62
KIRSTY FLORES,competitions-view?id=1354,KIRSTY FLORES,1994,10/13/2016,Raw Nationals 2016,2.,R-JR,-57,54.32,115,122.5,127.5,57.5,62.5,65,150,-157.5,157.5,350,421.75
KIRSTY FLORES,competitions-view?id=1328,KIRSTY FLORES,1994,09/10/2016,Squats & Science Raw Powerlifting Challenge,1.,R-JR,-57,56.50,115,122.5,127.5,55,62.5,65,140,150,157.5,350,408.94
Beverly DiPiero,competitions-view?id=1354,Beverly DiPiero,1994,10/13/2016,Raw Nationals 2016,3.,R-JR,-57,54.65,115,125,-130,65,67.5,70,137.5,150,-157.5,345,413.76
Beverly DiPiero,competitions-view?id=1260,Beverly DiPiero,1994,06/18/2016,IPF Classic Worlds,4.,R-JR,-57,55.60,115,122.5,127.5,62.5,67.5,-72.5,140,145,147.5,342.5,405.25
Beverly DiPiero,competitions-view?id=1166,Beverly DiPiero,1994,03/20/2016,2016 USA Powerlifting Orlando Open Championships,1.,R-JR,-57,56.20,110,117.5,125,62.5,67.5,70,140,150,152.5,347.5,407.72
Beverly DiPiero,competitions-view?id=992,Beverly DiPiero,1994,10/15/2015,2015 Raw Nationals,2.,R-JR,-57,56.40,110,117.5,120,62.5,67.5,-70,140,147.5,155,342.5,400.76
Beverly DiPiero,competitions-view?id=682,Beverly DiPiero,1994,03/14/2015,2015 Florida State Championships,1.,R-O,-57,56.80,100,112.5,115,57.5,62.5,65,110,125,137.5,317.5,369.44
Christina Lodato,competitions-view?id=1354,Christina Lodato,1993,10/13/2016,Raw Nationals 2016,4.,R-JR,-57,56.63,107.5,110,112.5,-65,-65,65,140,142.5,145,322.5,376.13
Christina Lodato,competitions-view?id=1291,Christina Lodato,1993,07/23/2016,5th Annual Central Florida Powerlifting Championships,1.,R-JR,-57,56.70,105,107.5,110,60,65,-67.5,132.5,140,142.5,317.5,369.95
Christina Lodato,competitions-view?id=1166,Christina Lodato,1993,03/20/2016,2016 USA Powerlifting Orlando Open Championships,2.,R-JR,-57,57.00,95,102.5,105,50,55,-57.5,117.5,125,127.5,287.5,333.62
Kimberly McLaughlin,competitions-view?id=1354,Kimberly McLaughlin,1995,10/13/2016,Raw Nationals 2016,5.,R-JR,-57,56.74,107.5,115,120,62.5,67.5,-70,120,125,127.5,315,366.85
Kimberly McLaughlin,competitions-view?id=1257,Kimberly McLaughlin,1995,06/10/2016,Summer Showdown,1.,R-O,-57,56.60,110,-125,-125,62.5,-67.5,-67.5,107.5,125,-132.5,297.5,347.12
Kimberly McLaughlin,competitions-view?id=1057,Kimberly McLaughlin,1995,12/12/2015,USA Powerlifting Georgia & Southern States,1.,R-JR,-63,57.10,107.5,122.5,-135,60,67.5,70,107.5,122.5,-135,315,365.02
Wynnie Young,competitions-view?id=1354,Wynnie Young,1993,10/13/2016,Raw Nationals 2016,6.,R-JR,-57,56.61,115,-125,-125,45,-50,-50,125,135,147.5,307.5,358.76
Wynnie Young,competitions-view?id=1290,Wynnie Young,1993,04/16/2016,2016 California State Championships,3.,R-JR,-57,56.20,102.5,112.5,120,42.5,-50,50,110,127.5,137.5,307.5,360.79
Wynnie Young,competitions-view?id=1040,Wynnie Young,1993,12/05/2015,USA Powerlifting Northern California Regionals,1.,R-JR,-57,56.80,-100,102.5,110,42.5,45,47.5,112.5,115,117.5,275,319.99
EMMA STOETZEL,competitions-view?id=1354,EMMA STOETZEL,1996,10/13/2016,Raw Nationals 2016,7.,R-JR,-57,55.40,97.5,102.5,107.5,52.5,57.5,-60,120,-127.5,135,300,355.98
EMMA STOETZEL,competitions-view?id=1294,EMMA STOETZEL,1996,08/06/2016,Iron Works Open XII,3.,R-O,-57,56.60,97.5,-105,105,52.5,55,-57.5,110,122.5,132.5,292.5,341.29
Genevieve Cohen,competitions-view?id=1354,Genevieve Cohen,1993,10/13/2016,Raw Nationals 2016,33.,R-O,-57,56.55,115,-122.5,-122.5,62.5,67.5,-72.5,-117.5,117.5,-127.5,300,350.28
Genevieve Cohen,competitions-view?id=1155,Genevieve Cohen,1993,03/19/2016,USA Powerlifting Pennsylvania States Championships,3.,R-O,-57,56.50,97.5,105,-110,52.5,60,65,120,130,137.5,307.5,359.28
Genevieve Cohen,competitions-view?id=1079,Genevieve Cohen,1993,01/23/2016,Northeast Iron Beast USA Powerlifting Winter Classic III,2.,R-JR,-63,60.30,105,110,-117.5,60,65,-67.5,120,130,-137.5,305,338.73
Genevieve Cohen,competitions-view?id=992,Genevieve Cohen,1993,10/15/2015,2015 Raw Nationals,18.,R-JR,-63,60.10,95,102.5,-107.5,60,65,-67.5,112.5,120,-137.5,287.5,320.10
