Name,Link,Name,YOB,Date,Competition,Placing,Division,Weightclass,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points
Victoria Liang,competitions-view?id=476,Victoria Liang,1993,04/13/2013,2013 Battle of the Great Lakes,-,R-T3,-60,60.00,113.4,,,72.6,,,156.5,,,342.5,381.85
Alice Zheng,competitions-view?id=992,Alice Zheng,1992,10/15/2015,2015 Raw Nationals,2.,R-JR,-63,62.50,137.5,145,147.5,72.5,77.5,-80,160,167.5,-175,392.5,424.10
Alice Zheng,competitions-view?id=858,Alice Zheng,1992,06/05/2015,2015 IPF Classic (Raw) Worlds,1.,R-JR,-63,61.80,130,137.5,142.5,62.5,70,72.5,155,165,170,385,419.57
Alice Zheng,competitions-view?id=800,Alice Zheng,1992,03/21/2015,USAPL EASTERN REGIONALS,1.,R-JR,-63,62.20,130,,,75,,,172.5,,,377.5,409.36
Alice Zheng,competitions-view?id=752,Alice Zheng,1992,12/12/2014,American Open,1.,R-JR,-72,63.10,137.5,,,72.5,,,162.5,,,372.5,399.58
Alice Zheng,competitions-view?id=860,Alice Zheng,1992,07/17/2014,2014 Raw Nationals,1.,R-JR,-63,62.70,125,130,-135.5,-62.5,62.5,70,142.5,150,-170,350,377.27
Alice Zheng,competitions-view?id=339,Alice Zheng,1992,05/17/2014,2014 Pennsylvania State Powerlifting Championships,1.,R-JR,-67.5,67.50,124.7,,,70.3,,,167.8,,,362.8,370.27
Alice Zheng,competitions-view?id=532,Alice Zheng,1992,12/07/2013,2013 American Open,-,R-JR,-67.5,67.00,135,,,65,,,155,,,355,364.27
Alice Zheng,competitions-view?id=509,Alice Zheng,1992,06/02/2013,New Jersey State High School- Benchpress & PL Championships,-,R-JR,-75,68.70,117.5,,,52.5,,,142.5,,,312.5,314.97
Jennylyn Carrasco,competitions-view?id=992,Jennylyn Carrasco,1991,10/15/2015,2015 Raw Nationals,3.,R-JR,-63,61.00,-130,-130,130,77.5,80,82.5,155,162.5,-167.5,375,412.76
Paige Hubbard,competitions-view?id=992,Paige Hubbard,1992,10/15/2015,2015 Raw Nationals,4.,R-JR,-63,60.60,120,125,130,75,-82.5,-82.5,140,150,155,360,398.27
Paige Hubbard,competitions-view?id=675,Paige Hubbard,1992,03/28/2015,2015 Southwest Regional Championships,1.,R-JR,-63,62.60,-108.9,108.9,120.2,63.5,70.3,-74.8,129.3,142.9,-154.2,333.4,359.79
Chelsea Zimmerman,competitions-view?id=992,Chelsea Zimmerman,1991,10/15/2015,2015 Raw Nationals,18.,R-O,-63,61.30,132.5,-140,-140,67.5,72.5,-75,135,145,-155,350,383.81
Chelsea Zimmerman,competitions-view?id=1281,Chelsea Zimmerman,1991,07/18/2015,Gym and TLS Raw Challenge,1.,R-JR,-63,62.00,130,-140,-140,62.5,70,-77.5,132.5,140,152.5,352.5,383.20
Chelsea Zimmerman,competitions-view?id=817,Chelsea Zimmerman,1991,04/18/2015,PA State Championships,1.,R-JR,-63,61.40,110,120,-137.5,65,70,-72.5,-100,107.5,115,305,334.04
Brittany Cauossa,competitions-view?id=992,Brittany Cauossa,0000,10/15/2015,2015 Raw Nationals,19.,R-O,-63,61.70,125,-130,-130,62.5,-67.5,-67.5,145,155,162.5,350,381.89
Morgan Bertzyk,competitions-view?id=992,Morgan Bertzyk,1993,10/15/2015,2015 Raw Nationals,7.,R-JR,-63,62.30,117.5,-125,125,57.5,-62.5,62.5,137.5,145,155,342.5,370.96
Morgan Bertzyk,competitions-view?id=762,Morgan Bertzyk,1993,01/17/2015,WI State Open '15,1.,R-JR,-57,56.20,95.3,,,56.7,,,104.3,,,256.3,300.72
Autumn Herried,competitions-view?id=992,Autumn Herried,1995,10/15/2015,2015 Raw Nationals,8.,R-JR,-63,61.70,122.5,127.5,-132.5,65,70,-75,122.5,132.5,142.5,340,370.97
Autumn Herried,competitions-view?id=762,Autumn Herried,1995,01/17/2015,WI State Open '15,1.,R-O,-63,61.50,124.7,,,68,,,142.9,,,335.6,367.11
Autumn Herried,competitions-view?id=638,Autumn Herried,1995,01/01/2012,WHSPA,-,R-T2,-60,58.96,136.1,,,47.6,,,122.5,,,306.2,346.01
Perrish Dragovits,competitions-view?id=992,Perrish Dragovits,1995,10/15/2015,2015 Raw Nationals,9.,R-JR,-63,62.30,127.5,-140,-140,62.5,-67.5,-67.5,135,150,-162.5,340,368.25
Celina Romera,competitions-view?id=992,Celina Romera,1993,10/15/2015,2015 Raw Nationals,10.,R-JR,-63,60.50,117.5,-122.5,-122.5,72.5,-75,-75,140,147.5,-150,337.5,373.88
Celina Romera,competitions-view?id=579,Celina Romera,1993,01/01/2012,9th Annual USAPL Florida Collegiate Championships,-,R-T3,-67.5,64.50,75,,,57.5,,,100,,,232.5,245.31
Carrie Allen,competitions-view?id=992,Carrie Allen,1992,10/15/2015,2015 Raw Nationals,32.,R-O,-63,61.80,110,115,-117.5,60,-65,-65,137.5,142.5,147.5,322.5,351.46
Carrie Allen,competitions-view?id=1281,Carrie Allen,1992,07/18/2015,Gym and TLS Raw Challenge,2.,R-JR,-63,61.40,105,110,115,57.5,60,65,127.5,137.5,-145,317.5,347.73
Lauren Shortell,competitions-view?id=992,Lauren Shortell,1991,10/15/2015,2015 Raw Nationals,33.,R-O,-63,62.00,95,102.5,-105,60,65,-67.5,135,145,152.5,320,347.87
Lauren Shortell,competitions-view?id=860,Lauren Shortell,1991,07/17/2014,2014 Raw Nationals,25.,R-O,-72,64.90,72.5,80,85,52.5,57.5,60,120,132.5,140,285,299.34
